NAME,USE--PMRA,USE--PMRAerr,USE--PMDEC,USE--PMDECERR,USE-PI-KINEMATIC WHEN NO PARALLAX,USE-PIERR-Kinematic WHEN NO PARALLAX,USE-radial velocity (km/s) --KINEMATIC WHEN NONE AVAILABLE,USE-rv_unc --KINEMATIC WHEN NONE AVAILABLE,RA,Dec,Designation,Group,SpT-Optical,Optical Gravity,SpT-IR,IR-Gravity,Gagne Discussion,KINEMATICS?,BANYAN II Discussion hit rate,"New measurements (p;plx,r;rv); * means BII was wrong",BASS hit rate,BANYAN II-No photom,,,,,,,BANYAN II-With photom,,,,,,,LACEwING (young),,,,,,Convergence,,BANYAN 1,,RESULT!,,Params from Joe,,,
FULL SPACE MOTION,,,,,,,,,,,,,,,,,,,,,,YMG Prob %,Contam Prob %,YMG Result,Stat.Dist,Stat.Dist.Err,Stat.RV,Stat.RV.Err,YMG Prob %,Contam Prob %,YMG Result,Stat.Dist,Stat.Dist.Err,Stat.RV,Stat.RV.Err,YMG Prob %,YMG Result,kine. dist,kine. dist unc.,kine. rv,kine. rv unc.,"YMG Prob %
",YMG Result,YMG Prob %,YMG Result,,,Lbol,Lbol_unc,Teff,Teff_unc
J14252798-3650229,-0.28489,0.0014,-0.46308,0.001,86.45,0.83,5.37,0.25,216.36658,-36.839694,14 25 27.98 -36 50 22.9,7,13,--,14,1,Bonafide-ABDOR,PI+RV+PM,...,...,Right,99.9,0.1,abdora              ,...,...,...,...,99.9,0.1,abdora              ,...,...,...,...,99.99,AB_Dor,11.98,1.07,4.6,2.03,39,beta Pic,100,AB Dor,3 out of 4,,-4.041,0.009,1528,61
T0047+6803,0.387,0.004,-0.197,0.004,82,3,-20,1.4,11.751611,68.065102,00 47 01.06 +68 03 52.1,7,17,1,17,2,High-Prob-AB Dor,PI+RV+PM,Hi-Right,pr,...,100,0.1,abdora              ,...,...,...,...,100,0.1,abdora              ,...,...,...,...,99.95,AB_Dor,11.55,0.33,-20.15,1.93,56,AB Dor,100,AB Dor,3 out of 4,,-4.379,0.032,1265,46
T0355+1133,0.225,0.0132,-0.63,0.015,110.8,4.3,11.92,0.22,58.847376,11.562141,03 55 23.37 +11 33 43.7,7,15,1,13,1,Bonafide-ABDOR,PI+RV+PM,(already had full kin),...,,99.6,1.1,abdora              ,...,...,...,...,99.6,1.1,abdora              ,...,...,...,...,100,AB_Dor,9.05,0.34,12.38,2.09,18,AB Dor,100,AB Dor,4 out of 4,,-4.111,0.034,1489,72
T0045+1634,0.355,0.01,-0.04,0.01,62.5,3.7,3.155,0.832,11.339304,16.579082,00 45 21.43 +16 34 44.6,6,12,2,12,1,High Prob-Argus,PI+RV+PM,Hi-Right,p,,99.9,0.1,argus               ,...,...,...,...,99.9,0.1,argus               ,...,...,...,...,99.42,Argus,14.98,0.98,3.7,1.15,37,Cha-Near,100,Argus,3 out of 4,,-3.38,0.031,2068,95
TWA27A,-0.063,0.002,-0.023,0.003,19.1,0.4,11.2,2,181.88945,-39.548333,12 07 33.467 -39 32 54.00,2,8,1,8,1,NOT IN GAGNE 2014,PI+RV+PM,...,...,,100,0,twhydra             ,...,...,...,...,100,0,twhydra             ,...,...,...,...,100,TW_Hya,62.94,9.41,9.54,1.91,97,TW Hya,100,TW Hya,4 out of 4,,-2.628,0.021,2605,94
TWA26,-0.0812,0.0039,-0.0277,0.0021,23.82,2.58,11.6,2,174.96308,-31.989306,11 39 51.140 -31 59 21.50,2,9,1,9,1,NOT IN GAGNE 2014,PI+RV+PM,...,...,,100,0,twhydra             ,...,...,...,...,100,0,twhydra             ,...,...,...,...,100,TW_Hya,47.76,7.54,10.63,1.8,98,TW Hya,100,TW Hya,4 out of 4,,-2.715,0.094,2535,195
J01231125-6921379,0.08278,0.00174,-0.02646,0.00139,21.6,3.3,10.9,3,20.796875,-69.360528,01 23 11.25 -69 21 37.9,3,7.5,--,--,--,Bonafide-THA,PI+RV+PM,(already had full kin),...,,100,0,tucana              ,...,...,...,...,100,0,tucana              ,...,...,...,...,99.97,Tuc-Hor,51.24,7.08,9.57,2.78,100,Tuc-Hor,100,Tuc-Hor,4 out of 4,,No NIR spectrum,,,
T0223-5815,0.0986,0.0008,-0.0182,0.0009,27.4,2.6,10.356,0.232,35.977669,-58.251869,02 23 54.64 -58 15 06.7,3,10,1,,,High-Prob-THA,PI+RV+PM,Hi-Right,pr,,100,0,tucana              ,...,...,...,...,100,0,tucana              ,...,...,...,...,99.98,Tuc-Hor,42.82,6.37,11.08,2.52,95,Tuc-Hor,100,Tuc-Hor,4 out of 4,,No NIR spectrum,,,
T0518-2756,0.0286,0.0042,-0.016,0.004,21.4,6.9,24.348,0.186,79.692373,-27.946054,05 18 46.10 -27 56 45.0,4,11,1,11,1,High-Prob-Columba,PI+RV+PM,Hi-Right,r,,99.4,0.1,columba             ,...,...,...,...,99.4,0.1,columba ,...,...,...,...,74.91,Columba,62.83,9.5,23.67,1.63,22,Cha-Near,87,Columba,3 out of 4,,-3.509,0.28,1879,324
